"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"Set 21","27,23","27,32","27,89","23,79","1,58B","0,15%"
"Ago 21","27,19","25,67","28,71","24,34","1,84B","1,04%"
"Jul 21","26,91","29,74","29,88","25,86","1,21B","-8,56%"
"Jun 21","29,43","27,40","29,79","27,01","1,44B","9,53%"
"Mai 21","26,87","23,80","27,20","22,88","1,58B","13,76%"
"Abr 21","23,62","23,50","24,89","22,61","1,29B","-1,99%"
"Mar 21","24,10","22,80","24,23","20,48","2,07B","8,36%"
"Fev 21","22,24","27,26","30,92","21,40","2,32B","-16,67%"
"Jan 21","26,69","28,65","31,76","26,53","1,28B","-5,82%"
"Dez 20","28,34","25,40","28,52","25,29","1,13B","13,82%"
"Nov 20","24,90","19,51","26,67","19,27","1,68B","31,47%"
"Out 20","18,94","19,64","21,14","17,74","1,44B","-3,42%"
"Set 20","19,61","22,20","23,12","19,25","1,24B","-10,42%"
"Ago 20","21,89","22,54","23,88","21,25","1,16B","-1,40%"
"Jul 20","22,20","21,75","23,60","21,52","1,32B","3,02%"
"Jun 20","21,55","20,15","23,03","19,54","1,68B","5,95%"
"Mai 20","20,34","17,43","20,34","16,72","1,63B","12,69%"
"Abr 20","18,05","13,45","18,69","13,32","2,40B","29,02%"
"Mar 20","13,99","25,50","27,48","10,85","2,90B","-44,79%"
"Fev 20","25,34","28,52","30,89","24,62","1,10B","-10,93%"
"Jan 20","28,45","30,51","31,24","27,67","940,87M","-5,73%"
"Dez 19","30,18","29,00","30,92","28,34","854,19M","4,96%"
"Nov 19","28,75","29,98","30,60","27,54","1,12B","-3,45%"
"Out 19","29,78","27,05","29,85","25,43","987,36M","10,31%"
"Set 19","27,00","24,88","27,67","24,53","970,87M","8,04%"
"Ago 19","24,99","25,57","26,14","23,20","1,18B","-1,46%"
"Jul 19","25,36","27,07","27,94","25,24","817,83M","-4,85%"
"Jun 19","26,65","25,16","27,60","24,85","918,37M","7,28%"
"Mai 19","24,84","25,96","26,61","23,70","1,05B","-5,40%"
"Abr 19","26,26","27,49","28,62","24,73","1,43B","-3,32%"
"Mar 19","27,16","26,27","28,65","25,38","1,23B","3,70%"
"Fev 19","26,19","24,68","26,86","23,75","1,11B","5,79%"
"Jan 19","24,76","21,83","25,13","21,57","1,35B","12,79%"
"Dez 18","21,95","24,63","24,85","19,77","1,45B","-7,93%"
"Nov 18","23,84","25,89","26,40","22,30","1,61B","-7,45%"
"Out 18","25,76","19,82","26,81","19,40","2,15B","30,96%"
"Set 18","19,67","17,71","20,47","17,00","1,12B","9,50%"
"Ago 18","17,97","18,23","20,05","16,46","1,33B","-2,09%"
"Jul 18","18,35","15,81","18,70","15,72","1,11B","14,72%"
"Jun 18","15,99","18,20","18,38","13,18","1,69B","-9,43%"
"Mai 18","17,66","21,05","25,63","15,73","2,00B","-17,21%"
"Abr 18","21,33","19,83","21,38","18,67","1,06B","7,29%"
"Mar 18","19,88","19,87","21,01","19,05","972,65M","-0,23%"
"Fev 18","19,93","18,35","20,29","17,19","946,15M","8,93%"
"Jan 18","18,29","15,03","18,62","15,03","946,39M","22,36%"
"Dez 17","14,95","14,24","14,99","13,88","646,23M","4,68%"
"Nov 17","14,28","15,78","16,19","13,92","758,84M","-8,29%"
"Out 17","15,57","14,11","15,94","13,98","799,96M","9,61%"
"Set 17","14,21","12,86","14,82","12,83","866,36M","12,09%"
"Ago 17","12,68","12,35","13,03","11,99","885,98M","2,71%"
"Jul 17","12,34","11,40","12,40","10,90","680,09M","7,44%"
"Jun 17","11,49","12,22","12,39","10,76","852,53M","-4,55%"
"Mai 17","12,03","13,06","14,74","11,56","1,05B","-7,23%"
"Abr 17","12,97","13,50","14,08","12,58","658,31M","-3,59%"
"Mar 17","13,46","14,40","14,44","11,90","959,59M","-4,55%"
"Fev 17","14,10","14,17","15,07","13,25","676,67M","1,07%"
"Jan 17","13,95","13,59","15,26","13,56","651,40M","1,01%"
"Dez 16","13,81","14,86","15,18","13,01","785,06M","-7,06%"
"Nov 16","14,86","16,60","16,60","12,38","1,30B","-9,55%"
"Out 16","16,43","12,69","17,17","12,65","1,13B","30,36%"
"Set 16","12,60","12,04","13,27","11,85","1,01B","5,60%"
"Ago 16","11,93","11,08","12,29","10,31","1,13B","8,26%"
"Jul 16","11,02","8,80","11,38","8,31","1,11B","26,01%"
"Jun 16","8,75","7,51","9,05","7,30","1,18B","17,16%"
"Mai 16","7,47","9,52","9,75","7,47","1,18B","-21,41%"
"Abr 16","9,50","7,48","9,79","6,88","1,40B","22,51%"
"Mar 16","7,75","4,93","8,36","4,74","2,10B","62,45%"
"Fev 16","4,77","4,40","4,90","3,83","1,26B","6,20%"
"Jan 16","4,49","6,10","6,53","3,83","1,38B","-27,76%"
"Dez 15","6,22","7,12","7,59","6,05","909,42M","-12,65%"
"Nov 15","7,12","7,28","8,03","6,71","955,06M","-0,52%"
"Out 15","7,16","6,79","8,42","6,41","1,23B","6,49%"
"Set 15","6,72","8,13","8,55","5,98","1,14B","-21,22%"
"Ago 15","8,53","9,62","9,80","6,99","996,34M","-12,48%"
"Jul 15","9,75","11,89","11,93","8,83","979,46M","-17,39%"
"Jun 15","11,80","11,54","12,62","11,38","810,78M","3,08%"
"Mai 15","11,45","12,36","13,88","11,41","1,02B","-5,52%"
"Abr 15","12,12","9,22","12,80","9,17","1,51B","34,12%"
"Mar 15","9,04","8,77","9,25","7,58","1,08B","1,67%"
"Fev 15","8,89","7,86","10,01","7,55","1,16B","16,99%"
"Jan 15","7,60","9,28","9,71","7,47","1,38B","-18,36%"
"Dez 14","9,30","11,71","11,89","7,95","1,06B","-21,72%"
"Nov 14","11,89","13,89","14,17","11,14","937,33M","-16,23%"
"Out 14","14,19","16,44","20,92","12,78","2,07B","-15,53%"
"Set 14","16,80","22,24","23,12","16,48","1,33B","-22,53%"
"Ago 14","21,68","17,65","21,91","17,02","1,07B","22,25%"
"Jul 14","17,74","16,11","19,71","15,65","800,73M","10,47%"
"Jun 14","16,06","15,60","17,76","15,13","593,88M","3,59%"
"Mai 14","15,50","15,37","17,50","15,33","652,54M","0,72%"
"Abr 14","15,39","13,74","15,88","13,54","786,42M","11,52%"
"Mar 14","13,80","11,98","13,80","10,99","746,23M","16,11%"
"Fev 14","11,88","12,76","13,20","11,86","591,45M","-7,55%"
"Jan 14","12,85","15,00","15,04","12,72","537,26M","-13,93%"
"Dez 13","14,93","15,62","15,80","14,59","485,52M","-10,67%"
"Nov 13","16,72","17,59","18,75","16,22","562,62M","-6,41%"
"Out 13","17,86","16,20","17,98","15,48","672,26M","11,27%"
"Set 13","16,05","15,00","16,88","14,48","563,42M","9,29%"
"Ago 13","14,69","14,60","16,34","14,08","773,73M","3,13%"
"Jul 13","14,24","14,16","14,94","13,06","610,14M","0,68%"
"Jun 13","14,15","17,58","17,90","13,61","672,93M","-19,30%"
"Mai 13","17,53","17,36","18,20","16,83","572,66M","-0,20%"
"Abr 13","17,57","15,35","17,57","14,27","644,88M","13,95%"
"Mar 13","15,42","13,86","16,45","13,78","624,96M","10,48%"
"Fev 13","13,95","15,24","15,67","13,89","561,16M","-8,13%"
"Jan 13","15,19","16,79","17,36","15,04","544,70M","-7,38%"
"Dez 12","16,40","15,86","17,72","15,68","491,90M","4,61%"
"Nov 12","15,68","17,58","18,31","15,42","457,39M","-10,29%"
"Out 12","17,47","18,76","19,41","17,47","430,24M","-7,02%"
"Set 12","18,79","17,45","20,03","17,04","425,69M","7,81%"
"Ago 12","17,43","16,38","18,38","15,82","573,45M","6,41%"
"Jul 12","16,38","15,21","17,06","15,10","526,76M","6,85%"
"Jun 12","15,33","15,57","16,93","14,63","584,88M","-4,60%"
"Mai 12","16,07","17,68","18,50","15,19","597,57M","-9,22%"
"Abr 12","17,70","19,36","19,62","17,30","364,87M","-8,82%"
"Mar 12","19,42","20,28","20,93","19,07","469,21M","-3,48%"
"Fev 12","20,11","20,44","21,41","18,79","580,54M","-1,06%"
"Jan 12","20,33","17,63","21,42","17,43","495,58M","15,39%"
"Dez 11","17,62","18,31","19,24","17,22","389,90M","-2,54%"
"Nov 11","18,08","16,57","18,64","16,57","415,04M","4,37%"
"Out 11","17,32","15,40","17,86","14,54","479,33M","11,62%"
"Set 11","15,52","17,16","17,17","15,38","377,32M","-8,17%"
"Ago 11","16,90","19,05","19,13","14,92","597,93M","-10,72%"
"Jul 11","18,93","19,05","19,31","18,02","345,80M","-0,93%"